"SECTOR","STATE","YEAR","TYPE","STATUS","COST"
"Coal","AU-QLD",2018,"NEW PROJECT","Feasibility",652
"Coal","AU-QLD",2018,"NEW PROJECT","Feasibility",1120
"Coal","AU-QLD",2020,"NEW PROJECT","Feasibility",520
"Nickel","AU-WA",2016,"NEW PROJECT","Committed",443
"Copper","AU-SA",2021,"EXPANSION","Announced",5000
"Other Commodities","AU-WA",2017,"NEW PROJECT","Feasibility",167
"Other Commodities","AU-QLD",2017,"NEW PROJECT","Feasibility",1775
"Iron Ore","AU-WA",2021,"NEW PROJECT","Feasibility",164
"LNG, Gas, Oil","AU-WA",2018,"NEW PROJECT","Committed",1200
"Iron Ore","AU-WA",2015,"EXPANSION","Committed",599
"Infrastructure","AU-WA",2017,"NEW PROJECT","Announced",5000
"Infrastructure","AU-SA",2017,"NEW PROJECT","Feasibility",663
"Infrastructure","AU-QLD",2016,"EXPANSION","Feasibility",150
"Lead, Zinc, Silver","AU-SA",2015,"REDEVELOPMENT","Committed",514
"LNG, Gas, Oil","AU-WA",2017,"NEW PROJECT","Committed",12600
"Coal","AU-QLD",2018,"NEW PROJECT","Announced",5000
"LNG, Gas, Oil","AU-QLD",2014,"NEW PROJECT","Committed",20400
"Uranium","AU-NT",2016,"EXPANSION","Announced",500
"Gold","AU-NT",2016,"NEW PROJECT","Announced",250
"Iron Ore","AU-WA",2015,"NEW PROJECT","Committed",10700
"LNG, Gas, Oil","AU-WA",2021,"NEW PROJECT","Feasibility",14000
"LNG, Gas, Oil","AU-VIC",2020,"NEW PROJECT","Announced",1000
"Iron Ore","AU-WA",2016,"NEW PROJECT","Committed",117
"Lead, Zinc, Silver","AU-WA",2016,"NEW PROJECT","Feasibility",70
"Aluminium, Alumina, Bauxite","AU-QLD",2018,"EXPANSION","Feasibility",1500
"LNG, Gas, Oil","AU-WA",2015,"NEW PROJECT","Completed",117
"Coal","AU-NSW",2018,"NEW PROJECT","Feasibility",800
"Coal","AU-NSW",2017,"EXTENSION","Feasibility",75
"LNG, Gas, Oil","AU-QLD",2019,"NEW PROJECT","Feasibility",1500
"Coal","AU-QLD",2016,"NEW PROJECT","Announced",700
"Coal","AU-QLD",2018,"NEW PROJECT","Feasibility",560
"Other Commodities","AU-NSW",2017,"NEW PROJECT","Feasibility",88
"Coal","AU-QLD",2016,"NEW PROJECT","Feasibility",500
"Copper","AU-WA",2016,"NEW PROJECT","Announced",70
"Other Commodities","AU-WA",2018,"NEW PROJECT","Announced",393
